description,category,type
Doctor consultation,health,expense
Lunch at Amazon,food,expense
Insurance premium,health,expense
Ticket resale income,entertainment,income
Refund from Udemy,other,expense
Fuel at BigBasket,transport,expense
Gift received,other,income
Library fine,education,expense
Tuition payment,education,expense
Coffee at Zomato,food,expense
Course stipend credited,education,income
Taxi fare,transport,expense
Course fee on Apollo Pharmacy,education,expense
Library fine,education,expense
Bought reference books,education,expense
Food reimbursement,food,income
IRCTC fare refund,transport,income
Dental visit,health,expense
Coffee at IRCTC,food,expense
Health insurance payout,health,income
Flipkart certification,education,expense
Coursera meal delivery,food,expense
Groceries from BookMyShow,food,expense
Tuition refund,education,income
Flipkart cab booking,transport,expense
Library fine,education,expense
Scholarship received,education,income
Coursera certification,education,expense
IRCTC pharmacy bill,health,expense
Miscellaneous purchase,other,expense
Metro card recharge,transport,expense
Concert ticket,entertainment,expense
Concert ticket,entertainment,expense
Udemy cab booking,transport,expense
Refund from Spotify,other,expense
Apollo Pharmacy pharmacy bill,health,expense
Groceries from Netflix,food,expense
Coursera refund,entertainment,income
Tuition payment,education,expense
Bought reference books,education,expense
Refund from Amazon,other,expense
Medical reimbursement,health,income
Meal allowance credited,food,income
Amazon cab booking,transport,expense
Flipkart pharmacy bill,health,expense
Zomato streaming renewal,entertainment,expense
Movie tickets at BookMyShow,entertainment,expense
Medicine purchase at Flipkart,health,expense
Fuel allowance credited,transport,income
Scholarship received,education,income
Gift received,other,income
Coffee at Netflix,food,expense
IRCTC cab booking,transport,expense
Swiggy subscription,entertainment,expense
Gaming purchase on Amazon,entertainment,expense
Taxi fare,transport,expense
Metro card recharge,transport,expense
Ola pharmacy bill,health,expense
Concert ticket,entertainment,expense
Tuition refund,education,income
Dinner at Coursera,food,expense
BigBasket meal voucher refund,food,income
Refund from Uber,other,expense
Dental visit,health,expense
Bus ticket to airport,transport,expense
Medicine purchase at Netflix,health,expense
Flipkart subscription,entertainment,expense
Netflix subscription,entertainment,expense
Zomato meal delivery,food,expense
Textbook purchase,education,expense
Medical reimbursement,health,income
Stationery from Netflix,other,expense
Medical reimbursement,health,income
Zomato meal voucher refund,food,income
Medicine purchase at Swiggy,health,expense
Coffee at Flipkart,food,expense
Spotify cab booking,transport,expense
Lunch at Amazon,food,expense
Meal allowance credited,food,income
Tuition refund,education,income
Bus ticket to airport,transport,expense
Travel reimbursement,transport,income
Health checkup,health,expense
Medical reimbursement,health,income
Dinner at BigBasket,food,expense
Medicine purchase at Uber,health,expense
Tuition refund,education,income
BookMyShow purchase,other,expense
Health checkup,health,expense
Tuition refund,education,income
Miscellaneous refund,other,income
Movie tickets at Amazon,entertainment,expense
Lunch at Netflix,food,expense
Miscellaneous purchase,other,expense
Course stipend credited,education,income
IRCTC fare refund,transport,income
Uber meal delivery,food,expense
Gift received,other,income
Scholarship received,education,income
Lunch at Netflix,food,expense
Bought textbooks,education,expense
Insurance claim received,health,income
Insurance premium,health,expense
Dinner at Zomato,food,expense
Refund from BookMyShow,other,expense
Gaming purchase on Flipkart,entertainment,expense
Textbook purchase,education,expense
Miscellaneous refund,other,income
Doctor consultation,health,expense
Prize money from contest,entertainment,income
Health insurance payout,health,income
Gaming purchase on Apollo Pharmacy,entertainment,expense
Doctor consultation,health,expense
Amazon subscription,entertainment,expense
Book purchase from Uber,education,expense
